customer_id,policy_id,policy_type,vehicle_or_property_age,claim_history,fraudulent_claim,premium_amount
CUST101824,POL200000,Property,5,2,0,1214.0
CUST100409,POL200001,Property,4,0,1,1018.5
CUST104506,POL200002,Property,8,0,1,1029.0
CUST104012,POL200003,Property,6,1,0,1114.0
CUST104012,POL200004,Auto,3,1,0,1116.5
CUST103657,POL200005,Life,3,1,0,1125.5
CUST102286,POL200006,Auto,3,1,0,1122.5
CUST102286,POL200007,Auto,0,1,0,1115.0
CUST101679,POL200008,Life,3,0,0,1018.0
CUST101679,POL200009,Life,6,1,0,1114.0
CUST108935,POL200010,Property,6,1,0,1121.0
CUST101424,POL200011,Auto,2,0,1,1017.5
CUST109674,POL200012,Health,5,1,0,1116.5
CUST109674,POL200013,Property,6,0,0,1026.0
CUST106912,POL200014,Property,2,1,0,1127.5
CUST106912,POL200015,Property,3,1,1,1112.5
CUST100520,POL200016,Auto,3,0,1,1024.0
CUST100488,POL200017,Life,6,3,0,1329.0
CUST101535,POL200018,Health,1,0,0,1012.5
CUST103582,POL200019,Auto,7,1,0,1123.5
CUST103811,POL200020,Auto,4,0,0,1015.5
CUST103811,POL200021,Property,7,3,0,1328.5
CUST108279,POL200022,Auto,4,0,0,1014.5
CUST108279,POL200023,Health,4,1,0,1122.0
CUST109863,POL200024,Property,4,2,0,1229.0
CUST109863,POL200025,Life,5,0,0,1026.0
CUST100434,POL200026,Life,6,1,1,1128.0
CUST109195,POL200027,Auto,5,3,0,1317.5
CUST109195,POL200028,Property,4,2,0,1213.0
CUST103257,POL200029,Auto,2,1,0,1116.5
CUST108928,POL200030,Health,5,1,0,1128.5
CUST106873,POL200031,Health,4,3,0,1324.0
CUST103611,POL200032,Property,2,0,0,1020.5
CUST107359,POL200033,Health,3,1,0,1115.5
CUST109654,POL200034,Health,4,0,0,1016.0
CUST104557,POL200035,Property,5,1,0,1124.5
CUST104557,POL200036,Health,3,1,0,1130.0
CUST100106,POL200037,Property,6,2,1,1217.0
CUST100106,POL200038,Auto,3,0,0,1012.5
CUST102615,POL200039,Property,3,1,0,1115.5
CUST102615,POL200040,Life,6,0,0,1016.5
CUST106924,POL200041,Health,2,2,0,1228.5
CUST106924,POL200042,Health,4,2,0,1221.5
CUST105574,POL200043,Health,6,0,0,1028.0
CUST104552,POL200044,Auto,2,1,1,1120.5
CUST102547,POL200045,Life,7,3,0,1325.5
CUST103527,POL200046,Auto,5,0,0,1013.5
CUST103527,POL200047,Property,6,1,0,1119.0
CUST105514,POL200048,Life,8,1,0,1120.0
CUST105514,POL200049,Health,5,0,0,1012.5
CUST101674,POL200050,Health,6,3,0,1328.0
CUST101519,POL200051,Health,7,0,0,1028.5
CUST106224,POL200052,Health,4,3,0,1320.5
CUST101584,POL200053,Property,5,1,0,1121.5
CUST105881,POL200054,Property,2,4,1,1414.0
CUST105881,POL200055,Health,5,4,0,1418.0
CUST105635,POL200056,Life,4,0,0,1024.0
CUST109891,POL200057,Property,6,3,0,1316.0
CUST109891,POL200058,Health,7,3,0,1313.5
CUST104333,POL200059,Auto,5,4,0,1417.5
CUST100711,POL200060,Life,6,3,0,1326.5
CUST100711,POL200061,Life,7,0,0,1015.0
CUST107527,POL200062,Life,4,1,0,1118.0
CUST107527,POL200063,Health,3,0,0,1025.0
CUST108785,POL200064,Property,4,0,0,1021.0
CUST108785,POL200065,Property,7,1,0,1127.5
CUST102045,POL200066,Auto,9,3,0,1316.0
CUST102045,POL200067,Auto,8,1,0,1114.0
CUST106201,POL200068,Health,3,0,0,1025.5
CUST101291,POL200069,Property,8,0,0,1018.0
CUST101291,POL200070,Property,6,0,1,1023.5
CUST109044,POL200071,Auto,7,2,0,1227.5
CUST104803,POL200072,Health,3,1,0,1125.5
CUST104803,POL200073,Property,2,0,0,1013.5
CUST105925,POL200074,Life,5,1,0,1122.5
CUST109459,POL200075,Auto,6,1,0,1123.0
CUST103150,POL200076,Property,8,1,0,1120.0
CUST101139,POL200077,Life,2,2,0,1224.5
CUST101139,POL200078,Auto,4,3,0,1330.0
CUST100750,POL200079,Health,5,1,1,1117.5
CUST103733,POL200080,Property,5,1,0,1117.5
CUST103733,POL200081,Health,4,0,0,1028.0
CUST104741,POL200082,Auto,5,0,0,1023.0
CUST104741,POL200083,Life,3,1,1,1114.0
CUST101307,POL200084,Property,3,3,1,1325.0
CUST103814,POL200085,Health,4,0,0,1027.0
CUST101654,POL200086,Property,6,2,0,1215.0
CUST101654,POL200087,Property,6,2,0,1226.5
CUST106227,POL200088,Health,6,0,1,1028.0
CUST106227,POL200089,Health,6,2,1,1215.5
CUST104554,POL200090,Property,5,3,0,1313.5
CUST104554,POL200091,Health,4,1,0,1115.0
CUST107428,POL200092,Auto,6,0,0,1027.0
CUST107428,POL200093,Life,6,0,0,1024.0
CUST105977,POL200094,Auto,6,1,0,1127.0
CUST102664,POL200095,Property,4,2,0,1224.0
CUST102664,POL200096,Property,4,2,0,1216.0
CUST106065,POL200097,Auto,5,2,1,1212.5
CUST105820,POL200098,Life,3,0,0,1021.5
CUST105820,POL200099,Life,7,1,1,1115.5
CUST103432,POL200100,Auto,4,0,0,1028.0
CUST104374,POL200101,Property,2,0,0,1015.5
CUST101169,POL200102,Auto,5,3,0,1318.5
CUST101169,POL200103,Health,3,1,1,1125.0
CUST109980,POL200104,Property,5,0,0,1018.5
CUST102803,POL200105,Health,5,3,0,1325.5
CUST102803,POL200106,Health,7,1,0,1116.0
CUST108751,POL200107,Property,8,3,0,1328.5
CUST108751,POL200108,Auto,4,1,0,1128.0
CUST104010,POL200109,Health,2,4,1,1430.0
CUST102677,POL200110,Property,3,5,1,1528.5
CUST102677,POL200111,Auto,5,1,0,1118.0
CUST107573,POL200112,Health,7,1,0,1124.5
CUST106216,POL200113,Property,4,3,0,1325.5
CUST106216,POL200114,Auto,1,0,1,1021.0
CUST104422,POL200115,Life,3,6,0,1621.5
CUST104422,POL200116,Property,2,2,0,1216.5
CUST109125,POL200117,Property,4,1,0,1128.5
CUST103598,POL200118,Life,5,3,0,1330.0
CUST103598,POL200119,Auto,9,2,0,1218.5
CUST105313,POL200120,Life,6,1,0,1123.5
CUST100916,POL200121,Auto,7,0,0,1028.5
CUST103752,POL200122,Health,1,2,0,1223.5
CUST103752,POL200123,Property,7,2,1,1225.5
CUST100525,POL200124,Property,4,0,0,1012.5
CUST100525,POL200125,Health,6,2,0,1213.0
CUST105168,POL200126,Auto,4,0,0,1014.0
CUST105168,POL200127,Health,4,0,0,1018.5
CUST106572,POL200128,Auto,2,2,0,1221.5
CUST106572,POL200129,Life,5,0,0,1017.0
CUST104386,POL200130,Life,3,0,0,1019.0
CUST101084,POL200131,Life,3,1,0,1126.5
CUST103456,POL200132,Auto,8,0,0,1030.0
CUST109292,POL200133,Auto,5,1,1,1128.5
CUST109292,POL200134,Life,6,1,0,1114.0
CUST105155,POL200135,Property,3,1,0,1125.5
CUST105155,POL200136,Life,3,1,0,1130.0
CUST103483,POL200137,Health,0,3,0,1320.5
CUST108179,POL200138,Property,8,0,0,1019.5
CUST106482,POL200139,Auto,0,1,0,1118.5
CUST106482,POL200140,Life,3,0,1,1026.5
CUST107517,POL200141,Health,2,3,0,1318.0
CUST102340,POL200142,Health,9,2,0,1224.5
CUST104339,POL200143,Property,7,1,0,1121.0
CUST102287,POL200144,Auto,2,0,0,1017.5
CUST102287,POL200145,Life,6,0,0,1012.5
CUST104040,POL200146,Property,3,0,1,1017.0
CUST104040,POL200147,Health,3,0,0,1017.0
