Customer_ID,Policy_ID,Customer_Age,Gender,Policy_Type,Monthly_Income,Vehicle_or_Property_Age,Claim_History,Fraudulent_Claim,Premium_Amount,Claim_Amount,Risk_Score,Location,Policy_Upgrade
CUST100000,POL100000,45,Male,Property,57926.04,6,0,0,1100.36,719.87,Low,Chicago,1
CUST100001,POL100001,52,Male,Auto,52957.88,6,0,0,1038.41,1483.6,Low,Chicago,0
CUST100002,POL100002,27,Female,Auto,64713.71,3,2,0,1127.81,2247.89,Low,Chicago,0
CUST100003,POL100003,33,Male,Life,50990.42,4,1,0,1086.71,3012.94,Low,Houston,0
CUST100004,POL100004,24,Female,Life,76379.88,10,0,1,1072.4,2710.86,Medium,Houston,0
CUST100005,POL100005,42,Female,Health,44863.72,1,0,1,952.25,1690.23,Medium,Chicago,0
CUST100006,POL100006,46,Male,Life,73316.23,6,0,0,1061.62,852.22,Low,New York,0
CUST100007,POL100007,51,Female,Auto,57334.02,4,1,0,1121.45,940.98,Low,Dallas,1
CUST100008,POL100008,44,Female,Life,83070.55,4,1,0,1209.78,935.26,Low,Chicago,0
CUST100009,POL100009,36,Female,Health,73552.99,5,0,0,977.83,702.28,Low,Dallas,0
CUST100010,POL100010,46,Male,Health,77372.8,5,0,1,1039.09,1853.19,Medium,New York,0
CUST100011,POL100011,36,Male,Property,79106.0,4,1,0,1038.88,813.28,Low,Dallas,0
CUST100012,POL100012,38,Male,Auto,66060.76,8,3,0,1330.51,1671.08,Medium,Chicago,0
CUST100013,POL100013,69,Male,Health,67166.31,4,0,0,1052.08,1162.26,Low,Dallas,1
CUST100014,POL100014,30,Female,Health,71597.11,3,2,0,1299.08,3195.83,Low,New York,0
CUST100015,POL100015,33,Male,Property,85599.07,6,0,0,1049.49,922.18,Low,Houston,1
CUST100016,POL100016,47,Male,Property,57585.94,4,0,1,978.18,2741.74,High,Los Angeles,1
CUST100017,POL100017,25,Male,Property,80458.3,10,0,0,939.6,1366.9,Low,Chicago,1
CUST100018,POL100018,47,Male,Property,78256.06,5,0,0,1066.87,2517.96,Medium,Chicago,1
CUST100019,POL100019,45,Male,Property,71017.52,3,0,0,1061.87,2961.99,Medium,New York,1
CUST100020,POL100020,29,Female,Life,62187.93,2,0,1,975.35,1466.2,Medium,Chicago,1
CUST100021,POL100021,49,Female,Auto,101016.33,5,1,0,1064.29,3107.65,Medium,Houston,2
CUST100022,POL100022,37,Male,Auto,70710.01,5,2,0,1214.06,3042.64,Medium,New York,1
CUST100023,POL100023,33,Male,Life,62597.71,5,1,0,1175.53,2771.85,Low,Chicago,1
CUST100024,POL100024,28,Male,Property,80730.07,6,4,0,1371.3,3052.88,High,New York,1
CUST100025,POL100025,47,Male,Health,42711.52,1,0,0,1021.47,1845.77,Low,New York,0
CUST100026,POL100026,35,Female,Health,61202.98,3,2,0,1197.12,855.93,Low,Chicago,1
CUST100027,POL100027,32,Male,Health,80451.53,6,2,0,1188.97,758.61,Low,Los Angeles,0
CUST100028,POL100028,30,Male,Life,84919.53,4,0,0,998.87,2139.92,Low,Houston,2
CUST100029,POL100029,51,Male,Property,65659.44,8,1,0,1196.8,618.77,Low,Chicago,0
CUST100030,POL100030,45,Female,Health,71619.51,3,1,0,1119.16,1918.2,Low,Dallas,1
CUST100031,POL100031,22,Female,Health,58073.82,4,2,0,1198.74,2362.02,Low,Houston,2
CUST100032,POL100032,18,Female,Health,79208.11,3,2,1,1336.63,3745.51,Medium,Houston,0
CUST100033,POL100033,32,Male,Health,73274.86,4,0,1,984.39,2167.62,Medium,Dallas,1
CUST100034,POL100034,44,Female,Property,68719.71,3,0,0,1066.8,2682.42,Medium,Los Angeles,0
CUST100035,POL100035,41,Male,Auto,49961.96,7,3,0,1406.69,1830.79,Medium,Chicago,1
CUST100036,POL100036,43,Female,Life,58047.85,5,1,0,1154.87,1614.73,Low,Dallas,1
CUST100037,POL100037,49,Male,Life,49512.8,4,1,1,1078.09,909.58,Medium,Chicago,1
CUST100038,POL100038,30,Female,Life,63655.31,5,0,1,989.27,2370.66,Medium,New York,2
CUST100039,POL100039,34,Female,Life,49223.34,4,2,1,1215.84,610.23,Medium,Houston,0
CUST100040,POL100040,43,Female,Life,47591.54,6,2,1,1315.11,1397.54,Medium,Houston,2
CUST100041,POL100041,51,Female,Health,61465.14,3,3,0,1405.06,4219.21,Medium,Chicago,0
CUST100042,POL100042,38,Male,Auto,74644.64,2,0,0,1058.95,1409.33,Low,New York,2
CUST100043,POL100043,41,Male,Property,31309.4,5,2,1,1265.78,2100.85,Medium,Houston,2
CUST100044,POL100044,39,Female,Health,55766.68,5,3,0,1247.1,1906.44,Low,Dallas,1
CUST100045,POL100045,39,Male,Health,60078.66,5,3,0,1229.21,2750.48,Medium,Houston,1
CUST100046,POL100046,30,Male,Property,55442.03,5,3,0,1449.62,3702.78,High,Chicago,0
