Review_ID,Customer_ID,Review_Text,Sentiment_Label,Rating,Service_Type
R00001,CUST101136,"Service was okay, nothing special.",Neutral,3,Policy Purchase
R00002,CUST106710,Had to wait weeks for a response.,Negative,2,Policy Purchase
R00003,CUST100055,"Average experience, neither good nor bad.",Neutral,3,Policy Purchase
R00004,CUST100825,"Support was fine, not exceptional.",Neutral,3,Claim
R00005,CUST104860,Bought the policy without any issues.,Neutral,3,Customer Support
R00006,CUST107832,"Average experience, neither good nor bad.",Neutral,3,Policy Purchase
R00007,CUST101230,The claim process was quick and smooth.,Positive,4,Customer Support
R00008,CUST107217,Fast and helpful service!,Positive,4,Policy Purchase
R00009,CUST100874,Everything went better than expected.,Positive,5,Customer Support
R00010,CUST105126,Customer service was rude and unhelpful.,Negative,2,Customer Support
R00011,CUST107766,Very bad experience with the support team.,Negative,1,Customer Support
R00012,CUST101311,Easy to buy a policy online. Loved it!,Positive,5,Claim
R00013,CUST105851,"Support was fine, not exceptional.",Neutral,3,Customer Support
R00014,CUST102527,Very bad experience with the support team.,Negative,1,Policy Purchase
R00015,CUST101390,"Service was okay, nothing special.",Neutral,3,Customer Support
R00016,CUST109636,Bought the policy without any issues.,Neutral,3,Customer Support
R00017,CUST108848,Fast and helpful service!,Positive,5,Policy Purchase
R00018,CUST102130,Great customer support. Very satisfied.,Positive,4,Policy Purchase
R00019,CUST104718,"Service was okay, nothing special.",Neutral,3,Claim
R00020,CUST109061,Easy to buy a policy online. Loved it!,Positive,5,Claim
R00021,CUST109649,The claim process was quick and smooth.,Positive,4,Claim
R00022,CUST100309,Great customer support. Very satisfied.,Positive,5,Claim
R00023,CUST105727,"Service was okay, nothing special.",Neutral,3,Policy Purchase
R00024,CUST104294,"Service was okay, nothing special.",Neutral,3,Policy Purchase
R00025,CUST101784,Easy to buy a policy online. Loved it!,Positive,4,Customer Support
R00026,CUST105754,Customer service was rude and unhelpful.,Negative,1,Policy Purchase
R00027,CUST101258,Great customer support. Very satisfied.,Positive,5,Policy Purchase
R00028,CUST101229,It was a typical insurance interaction.,Neutral,3,Customer Support
R00029,CUST104045,Fast and helpful service!,Positive,5,Claim
R00030,CUST102451,My claim was denied unfairly. Very disappointed.,Negative,1,Claim
R00031,CUST103889,Everything went better than expected.,Positive,4,Policy Purchase
R00032,CUST101880,Everything went better than expected.,Positive,4,Claim
